name,addressline1,addressline2,addressline3,addressline4,website,Automyyntiphone,Automyyntiphoneemail,Huolto_ja_varaosat,Huolto_ja_varaosatphone,Huolto_ja_varaosatphoneemail
Rinta-Joupin Autoliike Oy,Meijerinkatu 15 B,Vaasa 65100,,,www.rinta-jouppi.com,,,Huolto ja varaosat:,020 777 2111,huolto@rinta-jouppi.com
Avain Vaunu,Pankakoskentie 6,Joensuu 80130,,,www.avainvaunu.fi,Automyynti: 010 5228 625,joensuu@avainvaunu.fi,Huolto ja varaosat:,010 5228 650,huolto.joensuu@avainvaunu.fi
Avain Vaunu,Kivirannantie 7,Iisalmi 74130,,,www.avainvaunu.fi,Automyynti: 010 522 8675,iisalmi@avainvaunu.fi,Huolto ja varaosat:,010 5228 688,huolto.iisalmi@avainvaunu.fi
Automaa Kokkola,Vaunumiehenkatu 2,Kokkola 67700,,,www.automaa.fi,Automyynti: 020 780 7150,automyynti.kokkola@automaa.fi,Huolto ja varaosat:,020 780 7110,huolto.kokkola@automaa.fi
Wetteri Oy,Kettukallionkatu 3,Ylivieska 84100,,,www.wetteri.fi,Automyynti: 08 413 3200,ha-myynti.ylivieska@wetteri.fi,Huolto ja varaosat:,08 4133 230,ha-tyonjohtajat.ylivieska@wetteri.fi
Wetteri Oy,Sokajrventie 2,Kajaani 87100,,,www.wetteri.fi,Automyynti: 020-778840,ha-myynti.kajaani@wetteri.fi,Huolto ja varaosat:,020 7788 445,ha-tyonjohtajat.kajaani@wetteri.fi
Rinta-Joupin Autoliike Oy,Tikkasentie 2,Oulu 90410,,,www.rinta-jouppi.com,,,Huolto ja varaosat:,020 777 2521,oulu.huolto@rinta-jouppi.com
Wetteri Oy,imkuja 3,Oulu 90400,,,www.wetteri.fi,Automyynti: 020 7788 290,ha-myynti.oulu@wetteri.fi,Huolto ja varaosat:,020 7788 262,ha-tyonjohtajat.oulu@wetteri.fi
Wetteri Oy,Valajankatu 14,Kemi 94600,,,www.wetteri.fi,Automyynti: 020 778 880,ha-myynti.kemi@wetteri.fi,Huolto ja varaosat:,020 7788 817,ha-tyonjohtajat.kemi@wetteri.fi
Wetteri Oy,Kitkantie 83,Kuusamo 93600,,,www.wetteri.fi,,,Huolto ja varaosat:,020 7788 530,ha-tyonjohtajat.kuusamo@wetteri.fi
Wetteri Oy,Ulakatu 12,Rovaniemi 96300,,,www.wetteri.fi,Automyynti: 020 778 830,ha-myynti.rovaniemi@wetteri.fi,Huolto ja varaosat:,020 7788 365,ha-tyonjohtajat.rovaniemi@wetteri.fi
