name,address,city,phone
SERVICE AUTOMOBILE DEVA TITULESCU,"STR. NICOLAE TITULESCU, NR.12A",335500 HATEG,0752089790
DEDEMAN AUTOMOBILE SLANICULUI,"CALEA SLANICULUI, NR.10A",601110 ONESTI,0334405010
SERVICE AUTOMOBILE,"SAT RACARII DE SUS, FN",205300 FILIASI,0251449755
SERVICE AUTOMOBILE,"CALEA TRANSILVANIEI, NR.60",725100 CAMPULUNG MOLDOVENESC,0230314428
MERIDIAN NORD,BD. PIPERA NR. 1/IX,41711 VOLUNTARI,0213019030
NICOGEL SERV,STR. POLIGONULUI NR. 1,2079 PLOIESTI,0244223029
SICARO,STR. HARMANULUI NR. 49,500240 BRASOV,0268335991
SIMPO TRANS SERVICE,"SOS. BUCURESTI-URZICENI, NR.21, DN2, KM 21",077010 AFUMATI,0040213503012
Aurocar 2002 SRL,"Str. Unirii, nr.30",335700 Orastie,00400254247468
SERVICE AUTO SERUS,"BD.TIMISOARA, NR.60E, SECTOR 6",061334 BUCURESTI,0214440805
ANA AUTOCENTER,"STR.TECUCIULUI, NR.1",731199 BIRLAD,0235421321
INTERNATIONAL SERVICE SLOBOZIA,"SOS.BUCURESTI-CONSTANTA, KM110",920100 SLOBOZIA,0243221182
GENERAL AUTOCOM,"CALEA MUNTENIEI, DN2, E85 NR. 51",620172 FOCSANI,0237228888
SERVICE AUTOMOBILE,"SAT RACARII DE SUS, FN",205300 FILIASI,0251449755
LAZAR SERVICE COM,"ALEEA VICTORIEI, NR.1",210223 TARGU-JIU,0253228188
MAVEXIM,"ALEEA MANASTIREA DEALU, NR 197,",130004 SAT VALEA VOIEVOZILOR,0245640650
APAN GEORGE COSBUC,"STR. GEORGE COSBUC, NR. 148",800385 GALATI,0336401127
MIDA,"STR.BRASOVULUI, NR.67",530121 MIERCUREA-CIUC,0266205401
POLISERV J.G. (P.J.G.),"STR. STRANDULUI, NR 146A",100335 PLOIESTI,+40720880909
AUTO MOLDOVA ROMAN,"STR. STEFAN CEL MARE, NR.256 BIS,",611040 ROMAN,0233740482
DACOSERV SALAJ,"SOS. SALAJ, NR.225, SECTOR 5",051896 BUCURESTI,0214239797
RENT CAR SERVICE LITORAL,"BD.I. C. BRATIANU, NR.251",900316 CONSTANTA,0241 542418
RENT CAR SERVICE LITORAL TOMIS 393,"B-DUL TOMIS, NR. 393,",900497 CONSTANTA,0040241607951
RENT CAR SERVICE LITORAL MANGALIA,"SOS. CONSTANTEI, NR.57A-57B",905500 MANGALIA,0040241838181
A.S.V. AUTO BRASOV,"STR. AVRAM IANCU, NR. 36",500086 BRASOV,0268417322
AUTOMOTOR,"CALEA BUCURESTI, NR.112 BIS",200440 CRAIOVA,0251437246
GRIG AUTO,"STR.REGELE CAROL, NR.54",245700 DRAGASANI,0250812350
AUTO PRESS SIGHISOARA,"STR.MIHAI VITEAZU, NR.119/A",545400 SIGHISOARA,0265772744
MAVEXIM DRAGODANA,"SAT DRAGODANA, NR.478, DN 7,",137200 COMUNA DRAGODANA,0345402998
IATSA GALATI,"STR. DRUMUL VIILOR, NR.6",800259 GALATI,0236462954
FLAMICOM IMPEX,"STR. BARAJULUI, NR.10",240215 RAMNICU VALCEA,0040250718835
IATSA CAMPINA-PUNCT SERVICE DN1,"ALEEA PESTISORI, NR.16, DN1",105600 CAMPINA,0244333163
SERVICE AUTO SERUS PLOIESTI,"TARLAUA 12, PARCELE 80/1 - 80/43",107070 COM. BLEJOI,40244406660
SERVICE AUTOMOBILE TURDA,"STR. CLUJULUI D.E. 15, FN",401108 TURDA,0264313444
MAC AUTO,"STR.TUNARI, NR.22",230070 SLATINA,0249434394
AUTOGLOBUS 2000,"CALEA SAGULUI, NR.201",300517 TIMISOARA,0256400700
SERVICE AUTOMOBILE 2 CLUJ,"CALEA DOROBANTILOR, NR. 84",400609 CLUJ-NAPOCA,0264410768
MERIDIAN SUD INVEST,STR. TURNU MAGURELE nr.58-60,041713 BUCURESTI,0040213019030
NESTY AUTO SERVICE,"SOS BERCENI, NR. 80, SECTOR 4",756321 BUCURESTI,0214608257
AUTO GROUP,"CALEA CARANSEBESULUI, NR.21",320170 RESITA,0255228308
DAREX AUTO,"STR. HUMORULUI, NR. 96, CAMERA 4, ET 1",727525 SAT SCHEIA,0230551444
AUTO MOLDOVA,"BD. GENERAL NICOLAE DASCALESCU, NR 492B",610200 PIATRA NEAMT,0040233234258
AUTO BECORO,"B-DUL INDEPENDENTEI, NR.32",430071 BAIA-MARE,0262218023
AUTO SIMA BEYER IMPORT EXPORT,"CALEA MUNTENIEI, NR.11",620172 FOCSANI,0237231000
GENERAL AUTOCOM,"CALEA MUNTENIEI, DN2, E85 NR. 51",620172 FOCSANI,0237228888
SERVICE AUTOMOBILE,"SAT RACARII DE SUS, FN",205300 FILIASI,0251449755
Auto Haus Tudor S.R.L.,"Soseaua de Centura, DN 2A - Centura de Vest",905900 Constanta,0040729655655
AUTO EUROPA,CALEA SAGULUI NR. 142/A,300516 TIMISOARA,0356803450
APAN,"D.N. 22 B, KM 4,",810550 BRAILA,0239613639
DELTA PLUS TRADING,"AUTOSTRADA PITESTI-BUCURESTI, DN 65B, km 3 +750",110185 PITESTI,0040248615131
EMILIAN,"DRUMUL DN1, KM 302+545",550202 SELIMBAR,0269213637
SERVICE AUTOMOBILE,"STR. 22 DECEMBRIE, NR.261",330161 DEVA,0254 225 905
AUTO CLASS,"STR. BOTIZULUI, NR 43/A",440101 SATU MARE,0261770085
AUTO EUROPA MIRESEI,"STR. MIRESEI, NR.1",300642 TIMISOARA,0256144144
