name,addressline1,addressline2,addressline3,addressline4,services,phone,fax
33. Ν. ΒΑΓΙΑΣ - ΣΠ. ΖΗΚΙΔΗΣ Ο.E.,Λεωφ. Ιωαννίνων 301,"481 00, Πρέβεζα, ΠΡΕΒΕΖΑ",,,Εξουσιοδοτημένος Διανομέας Dacia,2682-061.490,2682-024.024
34. Ν. ΒΑΡΔΕΛΛΗΣ Α.Ε.,Καποδιστρίου & Κολοκοτρώνη Γωνία,"851 00, Ρόδος, ΔΩΔΕΚΑΝΗΣΑ",,,Εξουσιοδοτημένος Διανομέας Dacia,22410-20696,22410-20696
35. Ν. ΠΟΥΛΑΚΗΣ Α.Ε.Β.Ε.,Λεωφ. Αθηνών 243Α,"124 61, Χαϊδάρι, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-58.20.821,210-53.20.205
36. NIΒΑΛ A.Ε.,62 Μαρτύρων 265,"713 04, Ηράκλειο, ΗΡΑΚΛΕΙΟ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2810-319.500,2810-261.261
37. ΠΑΠΑΖΟΓΛΟΥ ΧΡ. & ΣΙΑ Ο.Ε.,2ο χλμ. Ε.Ο. Αλεξανδρούπολης – Συνόρων,"681 00, Αλεξανδρούπολη, ΕΒΡΟΣ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",25510-45363,25510-45362
38. ΠΑΡΙΣΗΣ Α.E.,2ο χλμ. Ε.Ο. Φλώρινας-Θεσσαλονίκης,"531 00, Φλώρινα, ΦΛΩΡΙΝΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2385-022.099,2385-024.766
39. ΠΗΝΕΛΟΠΗ ΜΠΕΝΤΕΝΙΤΗ & ΣΙΑ O.E.,6ο χλμ Ε.Ο. Ναυπλίου-Άργους,"211 00, Ναύπλιο, ΑΡΓΟΛΙΔΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2752-028.288,2752-021.132
40. ΠΛΑΜΑΡ A.E.,Πόντου 38-40,"115 27, Αθήνα, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-74.84.884,210-77.96.951
41. ΠΛΑΜΑΡ A.E.,Μιχαλακοπούλου 140,"115 27, Αθήνα, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Διανομέας Dacia,210-77.13.000,210-77.57.953
42. ΡΕΝΗΛ A.Ε.Β.Ε.,Λεωφ. Βουλιαγμένης 325,"163 46, Ηλιούπολη, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,210-97.61.974,210-97.51.228
43. ΣΤ. ΚΑΛΟΓΕΡΑΚΗΣ & ΣΙΑ Ο.Ε.,Πειραιώς & Βουτάδων 26,"118 54, Αθήνα, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,210-34.57.695,210-34.57.606
44. ΣΦΑΚΙΑΝΑΚΗΣ A.Ε.Β.E.,A΄BI.ΠE Βόλου,"385 00, Βόλος, ΜΑΓΝΗΣΙΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2421-067.106,2421-066.514
45. ΣΦΑΚΙΑΝΑΚΗΣ A.Ε.Β.E.,Λεωφ. Βουλιαγμένης 580,"164 52, Αργυρούπολη, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-99.03.030,210-99.03.039
46. ΤΕΡΖΗΣ Α.Ε.,4ο χλμ. Ε.Ο. Σπάρτης-Γυθείου,"231 00, Σπάρτη, ΛΑΚΩΝΙΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2731-044.841,2731-044.843
47. Χ. ΦΡΑΓΚΑΚΗ & ΣΙΑ Ε.Ε.,"Λεωφ. Κάρφα, Κοντάρι Χίου","821 00, Χίος, ΧΙΟΣ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2271-025.241,2271-043.707
48. ΧΑΛΚΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.,Πειραιώς 22,"183 46, Μοσχάτο, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,210-94.19.662,210-94.18.755
